id,field_number,field_name,field_type,sensor_type_id
1,1,srl,I,1
2,2,TS,F,1
7,3,V1,F,1
8,4,V2,F,1
9,5,V3,F,1
10,6,A1,F,1
11,7,A2,F,1
12,8,A3,F,1
13,9,W1,F,1
14,10,W2,F,1
15,11,W3,F,1
16,12,VA1,F,1
17,13,VA2,F,1
18,14,VA3,F,1
19,15,VAR1,F,1
20,16,VAR2,F,1
21,17,VAR3,F,1
22,18,PF1,F,1
23,19,PF2,F,1
24,20,PF3,F,1
25,21,Ang1,F,1
26,22,Ang2,F,1
27,23,PF3r,F,1
28,24,Ang1r,F,1
29,25,Ang2r,F,1
30,26,Ang3,F,1
31,27,AvgV,F,1
32,28,SumV,F,1
33,29,AvgA,F,1
34,30,SumA,F,1
35,31,AvgW,F,1
36,32,SumW,F,1
37,33,AvgVA,F,1
38,34,SumVA,F,1
39,35,AvgVAr,F,1
40,36,SumVAr,F,1
41,37,AvgPF,F,1
42,38,SumPF,F,1
43,39,AvgAng,F,1
44,40,SumAng,F,1
45,41,F,F,1
46,42,FwdWh,F,1
47,1,srl,I,3
48,2,TS,F,3
49,3,VA,F,3
50,4,W,F,3
51,5,VAR,F,3
52,6,PF,F,3
53,7,VLL,F,3
54,8,VLN,F,3
55,9,A,F,3
56,10,F,F,3
57,11,VA1,F,3
58,12,W1,F,3
59,13,VAR1,F,3
60,14,PF1,F,3
61,15,V12,F,3
62,16,V1,F,3
63,17,A1,F,3
64,18,VA2,F,3
65,19,W2,F,3
66,20,VAR2,F,3
67,21,PF2,F,3
68,22,V23,F,3
69,23,V2,F,3
70,24,A2,F,3
71,25,VA3,F,3
72,26,W3,F,3
73,27,VAR3,F,3
74,28,PF3,F,3
75,29,V31,F,3
76,30,V3,F,3
77,31,A3,F,3
78,32,FwdVAh,F,3
79,33,FwdWh,F,3
80,34,FwdVARhR,F,3
81,35,FwdVARhC,F,3
